87,16,76,17,85,13,79,14
81,69,12,24,18,27,22,16
31,3,78,82,20,18,12,14
19,24,27,30,11,25,27,26
76,14,86,22,76,2,80,24
22,17,31,21,21,22,19,18
18,15,24,21,20,25,23,22
34,25,18,17,15,22,22,11
24,26,81,75,21,19,23,21
26,25,19,26,77,76,77,79
74,80,24,16,20,24,19,17
69,17,69,21,85,13,78,28
24,28,21,16,79,77,91,85
24,17,86,88,15,11,19,25
22,11,79,79,31,14,12,16
26,24,18,24,80,88,76,77
78,12,82,21,76,11,73,21
18,15,13,14,18,13,29,18
81,20,81,26,80,15,87,17
72,85,23,20,28,14,17,26
24,26,77,81,16,15,20,23
13,16,83,85,30,16,36,32
30,17,20,22,15,20,20,9
28,20,14,18,77,79,86,71
28,22,17,27,90,83,80,86
23,17,29,21,30,17,18,22
15,18,70,86,20,23,29,26
82,11,82,17,79,23,87,10
86,83,12,24,17,22,22,27
66,16,83,33,78,12,93,21
78,14,74,29,78,17,77,29
91,80,30,16,22,19,10,22
18,30,21,27,79,86,74,84
74,82,31,11,23,27,16,23
18,25,16,14,83,82,91,78
24,21,75,73,24,20,10,27
15,23,12,22,88,81,75,69
77,74,20,24,27,25,9,22
27,19,24,14,77,72,79,86
26,23,13,21,20,17,16,30
86,75,8,32,9,24,26,21
89,80,17,22,17,24,20,28
82,18,78,17,84,20,78,25
12,9,30,19,74,72,74,78
76,17,85,21,82,10,85,15
86,79,20,28,13,11,16,13
22,21,23,22,74,72,81,73
79,69,28,20,24,13,28,16
83,76,24,26,17,17,6,25
19,6,80,80,6,20,19,15
26,24,16,19,23,18,19,11
26,22,16,18,17,21,14,9
25,19,78,81,16,12,22,11
87,33,84,25,77,12,79,29
23,21,22,11,30,21,18,32
70,86,11,12,18,25,22,25
84,19,80,28,76,21,90,21
74,12,81,18,79,20,71,25
9,22,19,21,83,79,85,75
21,29,29,19,22,24,19,9
13,17,18,15,18,11,20,9
81,25,74,15,77,23,82,20
20,25,71,83,21,10,28,16
27,19,12,22,89,69,83,78
29,24,23,24,20,20,16,20
10,23,8,16,13,29,31,18
25,19,23,15,10,9,22,33
76,67,9,19,25,19,23,13
12,30,16,15,82,89,88,77
86,23,78,28,81,28,76,15
76,24,82,21,75,24,90,20
20,15,13,24,83,68,73,82
26,16,19,12,95,83,85,84
11,27,80,83,26,20,18,14
17,25,93,75,23,18,25,23
20,13,9,9,83,73,87,89
74,75,15,21,19,26,14,19
23,24,15,22,72,89,79,80
86,81,22,27,27,18,17,22
21,12,8,22,16,23,17,13
2,11,80,79,22,19,21,25
18,21,16,25,86,77,71,84
17,7,84,70,21,31,20,13
76,11,80,14,77,23,80,26
77,79,13,18,24,18,23,17
11,23,19,27,18,9,19,30
17,19,24,21,80,84,85,72
13,18,71,80,16,18,16,25
19,23,83,75,23,22,22,18
88,82,15,16,37,16,15,22
18,16,83,63,16,12,22,16
20,11,18,6,26,18,16,26
82,20,79,9,80,14,80,23
26,3,76,74,19,16,16,24
79,72,19,19,19,23,20,26
24,25,22,14,19,16,18,28
76,80,19,24,21,30,19,19
84,16,92,7,73,14,90,22
16,21,73,85,27,13,23,14
79,13,72,8,85,16,86,25
